symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
TEMPSENS,Outside Nifty500,No,-10.46,523.65,584.8,922358.0,1854772.0,49.7,13
RPPINFRA,Outside Nifty500,No,-9.31,54.72,60.34,57836.0,123108.0,47.0,20
RADHIKAJWE,Outside Nifty500,No,-9.3,75.47,83.21,616090.0,688848.0,89.4,20
DEEPA,Outside Nifty500,No,-9.0,169.14,185.86,975905.0,4587451.0,21.3,5
KENNAMET,Outside Nifty500,No,-8.88,4266.4,4682.4,23024.0,29487.0,78.1,20
PKTEA,Outside Nifty500,No,-8.66,1024.6,1121.75,2218.0,4351.0,51.0,20
NOVARTIND,Outside Nifty500,No,-8.5,2188.0,2391.3,41597.0,43979.0,94.6,20
UTTAMSUGAR,Outside Nifty500,No,-8.29,256.65,279.85,106297.0,128095.0,83.0,20
MOREPENLAB,Outside Nifty500,No,-8.26,106.22,115.78,5909411.0,5954453.0,99.2,20
INDOCO,Outside Nifty500,No,-8.22,241.39,263.02,135387.0,182154.0,74.3,20
BANG,Outside Nifty500,No,-8.06,32.29,35.12,26220.0,95077.0,27.6,20
MERCANTILE,Outside Nifty500,No,-7.71,22.02,23.86,3166.0,48719.0,6.5,19
MVELECTRO,Outside Nifty500,No,-7.69,777.0,841.7,217569.0,577696.0,37.7,20
RRECL,Outside Nifty500,No,-7.55,123.7,133.8,124.0,562.0,22.1,19
GENESYS,Outside Nifty500,No,-7.24,285.51,307.81,290260.0,485292.0,59.8,20
ANTELOPUS,Outside Nifty500,No,-7.16,1057.8,1139.35,186935.0,320396.0,58.3,20
KANPRPLA,Outside Nifty500,No,-7.03,246.0,264.6,12826.0,20624.0,62.2,20
JTLIND,Outside Nifty500,No,-7.0,82.47,88.68,1401640.0,1624916.0,86.3,20
DIVGIITTS,Outside Nifty500,No,-6.9,1106.3,1188.3,53156.0,70564.0,75.3,20
GOACARBON,Outside Nifty500,No,-6.89,384.9,413.4,20697.0,34926.0,59.3,20
JAYAGROGN,Outside Nifty500,No,-6.86,227.39,244.13,21417.0,22288.0,96.1,20
SHANKESH,Outside Nifty500,No,-6.86,94.35,101.3,1747005.0,4250022.0,41.1,16
DWARKESH,Outside Nifty500,No,-6.75,41.72,44.74,1369133.0,1463612.0,93.5,20
LEAPIND,Outside Nifty500,No,-6.74,134.61,144.34,1524879.0,2787587.0,54.7,20
ARVEE,Outside Nifty500,No,-6.69,168.6,180.69,3126.0,5436.0,57.5,20
MANINDS,Outside Nifty500,No,-6.69,808.2,866.1,342161.0,408003.0,83.9,20
ATLANTAELE,Outside Nifty500,No,-6.63,1660.0,1777.8,57750.0,69042.0,83.6,20
BALUFORGE,Outside Nifty500,No,-6.6,498.2,533.4,380513.0,548506.0,69.4,20
GAJA,Outside Nifty500,No,-6.59,142.55,152.6,382084.0,2158072.0,17.7,15
HPAL,Outside Nifty500,No,-6.59,35.41,37.91,40341.0,50927.0,79.2,20
NIACL,Midcap150,No,-6.54,185.41,198.39,1080854.0,1831613.0,59.0,20
JINDWORLD,Outside Nifty500,No,-6.51,49.44,52.88,2824475.0,4716029.0,59.9,20
MAKERSL,Outside Nifty500,No,-6.51,173.77,185.87,4475.0,8907.0,50.2,20
ABSLAMC,Smallcap250,No,-6.49,1037.9,1109.9,64335.0,142661.0,45.1,20
IFCI,Smallcap250,No,-6.49,76.95,82.29,16181360.0,20960256.0,77.2,20
YATRA,Outside Nifty500,No,-6.46,107.96,115.42,521831.0,631533.0,82.6,20
POWERICA,Outside Nifty500,No,-6.43,532.75,569.35,87196.0,91313.0,95.5,20
PAUSHAKLTD,Outside Nifty500,No,-6.41,682.8,729.6,18982.0,20957.0,90.6,20
INNOVANA,Outside Nifty500,No,-6.39,306.1,327.0,4909.0,12994.0,37.8,20
VIRAT,Outside Nifty500,No,-6.32,421.6,450.05,6258.0,9325.0,67.1,20
TRIGYN,Outside Nifty500,No,-6.27,52.58,56.1,23429.0,35288.0,66.4,20
HCC,Outside Nifty500,No,-6.2,21.32,22.73,8684258.0,14998566.0,57.9,20
GFLLIMITED,Outside Nifty500,No,-6.14,54.69,58.27,52845.0,110504.0,47.8,20
SHREERAMA,Outside Nifty500,No,-6.13,44.23,47.12,38209.0,63235.0,60.4,20
PARAGMILK,Outside Nifty500,No,-6.09,252.15,268.5,589883.0,644169.0,91.6,20
AUGMONT,Outside Nifty500,No,-6.08,832.25,886.15,322439.0,969096.0,33.3,12
IPRINGLTD,Outside Nifty500,No,-6.07,137.02,145.87,1608.0,4660.0,34.5,20
RISHABH,Outside Nifty500,No,-6.04,779.5,829.6,118231.0,153366.0,77.1,20
RAMBHAJO,Outside Nifty500,No,-5.96,253.22,269.28,306945.0,475333.0,64.6,20
