symbol,index,fno,chg,close,prev_close,volume,avg20v,ratio_pct,n_days_v
TEMPSENS,Outside Nifty500,No,-10.46,523.65,584.8,2634136.0,8800712.0,29.9,13
DHOOTTRANS,Outside Nifty500,No,-10.0,1555.9,1728.7,1966272.0,5459513.0,36.0,20
RPPINFRA,Outside Nifty500,No,-9.31,54.72,60.34,87771.0,194542.0,45.1,20
RADHIKAJWE,Outside Nifty500,No,-9.3,75.47,83.21,1325850.0,4597624.0,28.8,20
DEEPA,Outside Nifty500,No,-9.0,169.14,185.86,3282691.0,15419856.0,21.3,5
PKTEA,Outside Nifty500,No,-8.66,1024.6,1121.75,3649.0,11130.0,32.8,20
NOVARTIND,Outside Nifty500,No,-8.5,2188.0,2391.3,135595.0,242127.0,56.0,20
UTTAMSUGAR,Outside Nifty500,No,-8.29,256.65,279.85,240789.0,552713.0,43.6,20
INDOCO,Outside Nifty500,No,-8.22,241.39,263.02,354504.0,1992973.0,17.8,20
BANG,Outside Nifty500,No,-8.06,32.29,35.12,54164.0,185490.0,29.2,20
MERCANTILE,Outside Nifty500,No,-7.71,22.02,23.86,3578.0,175545.0,2.0,19
MVELECTRO,Outside Nifty500,No,-7.69,777.0,841.7,1768387.0,7359461.0,24.0,20
RRECL,Outside Nifty500,No,-7.55,123.7,133.8,160.0,666.0,24.0,19
GENESYS,Outside Nifty500,No,-7.24,285.51,307.81,945103.0,3019457.0,31.3,20
RESPONIND,Outside Nifty500,No,-7.19,160.82,173.27,957892.0,5168491.0,18.5,20
ANTELOPUS,Outside Nifty500,No,-7.16,1057.8,1139.35,1129576.0,3937242.0,28.7,20
KANPRPLA,Outside Nifty500,No,-7.03,246.0,264.6,24653.0,44723.0,55.1,20
GOACARBON,Outside Nifty500,No,-6.89,384.9,413.4,48024.0,116160.0,41.3,20
SHANKESH,Outside Nifty500,No,-6.86,94.35,101.3,5763565.0,18544798.0,31.1,16
DWARKESH,Outside Nifty500,No,-6.75,41.72,44.74,3030956.0,7610016.0,39.8,20
LEAPIND,Outside Nifty500,No,-6.74,134.61,144.34,3444783.0,7099402.0,48.5,20
ARVEE,Outside Nifty500,No,-6.69,168.6,180.69,5648.0,16593.0,34.0,20
MANINDS,Outside Nifty500,No,-6.69,808.2,866.1,1027095.0,1681127.0,61.1,20
BALUFORGE,Outside Nifty500,No,-6.6,498.2,533.4,876986.0,2445815.0,35.9,20
GAJA,Outside Nifty500,No,-6.59,142.55,152.6,792538.0,6642152.0,11.9,15
HPAL,Outside Nifty500,No,-6.59,35.41,37.91,64781.0,111054.0,58.3,20
NIACL,Midcap150,No,-6.54,185.41,198.39,3487564.0,15145791.0,23.0,20
JINDWORLD,Outside Nifty500,No,-6.51,49.44,52.88,10265488.0,45268239.0,22.7,20
MAKERSL,Outside Nifty500,No,-6.51,173.77,185.87,4843.0,13796.0,35.1,20
ABSLAMC,Smallcap250,No,-6.49,1037.9,1109.9,129497.0,247424.0,52.3,20
IFCI,Smallcap250,No,-6.49,76.95,82.29,81195084.0,140345254.0,57.9,20
YATRA,Outside Nifty500,No,-6.46,107.96,115.42,969513.0,1539341.0,63.0,20
PAUSHAKLTD,Outside Nifty500,No,-6.41,682.8,729.6,35145.0,56232.0,62.5,20
VIRAT,Outside Nifty500,No,-6.32,421.6,450.05,7551.0,16512.0,45.7,20
HCC,Outside Nifty500,No,-6.2,21.32,22.73,20566631.0,43199062.0,47.6,20
GFLLIMITED,Outside Nifty500,No,-6.14,54.69,58.27,88311.0,202994.0,43.5,20
AUGMONT,Outside Nifty500,No,-6.08,832.25,886.15,930427.0,3339720.0,27.9,12
IPRINGLTD,Outside Nifty500,No,-6.07,137.02,145.87,1943.0,8996.0,21.6,20
