symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
TEMPSENS,Outside Nifty500,No,-10.46,523.65,584.8,922358.0,1854772.0,49.7,13
RPPINFRA,Outside Nifty500,No,-9.31,54.72,60.34,57836.0,123108.0,47.0,20
DEEPA,Outside Nifty500,No,-9.0,169.14,185.86,975905.0,4587451.0,21.3,5
PKTEA,Outside Nifty500,No,-8.66,1024.6,1121.75,2218.0,4351.0,51.0,20
BANG,Outside Nifty500,No,-8.06,32.29,35.12,26220.0,95077.0,27.6,20
MERCANTILE,Outside Nifty500,No,-7.71,22.02,23.86,3166.0,48719.0,6.5,19
MVELECTRO,Outside Nifty500,No,-7.69,777.0,841.7,217569.0,577696.0,37.7,20
RRECL,Outside Nifty500,No,-7.55,123.7,133.8,124.0,562.0,22.1,19
GENESYS,Outside Nifty500,No,-7.24,285.51,307.81,290260.0,485292.0,59.8,20
ANTELOPUS,Outside Nifty500,No,-7.16,1057.8,1139.35,186935.0,320396.0,58.3,20
KANPRPLA,Outside Nifty500,No,-7.03,246.0,264.6,12826.0,20624.0,62.2,20
GOACARBON,Outside Nifty500,No,-6.89,384.9,413.4,20697.0,34926.0,59.3,20
SHANKESH,Outside Nifty500,No,-6.86,94.35,101.3,1747005.0,4250022.0,41.1,16
LEAPIND,Outside Nifty500,No,-6.74,134.61,144.34,1524879.0,2787587.0,54.7,20
ARVEE,Outside Nifty500,No,-6.69,168.6,180.69,3126.0,5436.0,57.5,20
BALUFORGE,Outside Nifty500,No,-6.6,498.2,533.4,380513.0,548506.0,69.4,20
GAJA,Outside Nifty500,No,-6.59,142.55,152.6,382084.0,2158072.0,17.7,15
NIACL,Midcap150,No,-6.54,185.41,198.39,1080854.0,1831613.0,59.0,20
JINDWORLD,Outside Nifty500,No,-6.51,49.44,52.88,2824475.0,4716029.0,59.9,20
MAKERSL,Outside Nifty500,No,-6.51,173.77,185.87,4475.0,8907.0,50.2,20
ABSLAMC,Smallcap250,No,-6.49,1037.9,1109.9,64335.0,142661.0,45.1,20
INNOVANA,Outside Nifty500,No,-6.39,306.1,327.0,4909.0,12994.0,37.8,20
VIRAT,Outside Nifty500,No,-6.32,421.6,450.05,6258.0,9325.0,67.1,20
TRIGYN,Outside Nifty500,No,-6.27,52.58,56.1,23429.0,35288.0,66.4,20
HCC,Outside Nifty500,No,-6.2,21.32,22.73,8684258.0,14998566.0,57.9,20
GFLLIMITED,Outside Nifty500,No,-6.14,54.69,58.27,52845.0,110504.0,47.8,20
SHREERAMA,Outside Nifty500,No,-6.13,44.23,47.12,38209.0,63235.0,60.4,20
AUGMONT,Outside Nifty500,No,-6.08,832.25,886.15,322439.0,969096.0,33.3,12
IPRINGLTD,Outside Nifty500,No,-6.07,137.02,145.87,1608.0,4660.0,34.5,20
RAMBHAJO,Outside Nifty500,No,-5.96,253.22,269.28,306945.0,475333.0,64.6,20
AGL,Outside Nifty500,No,-5.95,14.23,15.13,1411281.0,2105936.0,67.0,20
KARMAENG,Outside Nifty500,No,-5.9,37.29,39.63,3102.0,4602.0,67.4,20
PRIMO,Outside Nifty500,No,-5.9,22.31,23.71,107998.0,162917.0,66.3,20
BAJAJHIND,Outside Nifty500,No,-5.87,19.71,20.94,6309552.0,11965047.0,52.7,20
MOL,Outside Nifty500,No,-5.85,58.86,62.52,421983.0,669594.0,63.0,20
NITCO,Outside Nifty500,No,-5.84,88.24,93.71,256836.0,400285.0,64.2,20
HERITGFOOD,Outside Nifty500,No,-5.64,393.85,417.4,229473.0,374194.0,61.3,20
SBICARD,Midcap150,Yes,-5.59,618.6,655.2,858867.0,2254992.0,38.1,20
MANALIPETC,Outside Nifty500,No,-5.58,80.19,84.93,710416.0,1256774.0,56.5,20
RENUKA,Outside Nifty500,No,-5.55,23.49,24.87,4547563.0,8698338.0,52.3,20
VOLTAMP,Outside Nifty500,No,-5.54,10596.0,11217.0,12927.0,18545.0,69.7,20
IRISDOREME,Outside Nifty500,No,-5.5,58.09,61.47,299566.0,488961.0,61.3,20
AEPL,Outside Nifty500,No,-5.46,16.27,17.21,43468.0,104123.0,41.7,20
JINDRILL,Outside Nifty500,No,-5.46,598.65,633.25,107597.0,174671.0,61.6,20
JSFB,Outside Nifty500,No,-5.46,488.65,516.85,169568.0,462042.0,36.7,20
FIBERWEB,Outside Nifty500,No,-5.42,25.63,27.1,12784.0,21229.0,60.2,20
SUDARSCHEM,Outside Nifty500,No,-5.21,1183.2,1248.2,93591.0,220916.0,42.4,20
THEMISMED,Outside Nifty500,No,-5.21,121.57,128.25,65638.0,122027.0,53.8,20
PONNIERODE,Outside Nifty500,No,-5.2,351.8,371.1,12906.0,38726.0,33.3,20
URBANCO,Smallcap250,No,-5.2,158.22,166.89,1962023.0,3762266.0,52.2,20
