symbol,index,fno,chg,close,prev_close,volume,avg20v,ratio_pct,n_days_v
PNCINFRA,Outside Nifty500,No,-20.0,140.32,175.4,4938381.0,425527.0,1160.5,20
SUNSHINE,Outside Nifty500,No,-18.11,333.95,407.8,7326036.0,4319606.0,169.6,16
SIGACHI,Outside Nifty500,No,-16.93,31.51,37.93,20492367.0,5369981.0,381.6,20
BAIDFIN,Outside Nifty500,No,-15.15,10.08,11.88,552693.0,144477.0,382.5,20
AEROENTER,Outside Nifty500,No,-14.71,116.93,137.09,1916380.0,1078223.0,177.7,20
SOLARINDS,NiftyNext50,Yes,-13.64,19250.0,22290.0,1304570.0,144592.0,902.2,20
IVC,Outside Nifty500,No,-13.06,7.92,9.11,1241350.0,830332.0,149.5,20
VTMLTD,Outside Nifty500,No,-12.91,42.17,48.42,235189.0,42159.0,557.9,20
RPEL,Outside Nifty500,No,-12.07,1622.4,1845.2,225914.0,149162.0,151.5,20
ASHOKAMET,Outside Nifty500,No,-11.98,15.14,17.2,900455.0,167839.0,536.5,20
ALMONDZ,Outside Nifty500,No,-11.97,16.84,19.13,546923.0,333478.0,164.0,20
SMSPHARMA,Outside Nifty500,No,-11.5,410.15,463.45,4315277.0,1457247.0,296.1,20
VPRPL,Outside Nifty500,No,-10.81,32.26,36.17,723981.0,664363.0,109.0,20
CENTEXT,Outside Nifty500,No,-10.68,19.98,22.37,888517.0,410883.0,216.2,20
DUCON,Outside Nifty500,No,-10.67,1.59,1.78,3110461.0,1801471.0,172.7,20
VEDAVAAG,Outside Nifty500,No,-10.27,20.98,23.38,184975.0,139256.0,132.8,20
MARINE,Outside Nifty500,No,-10.12,376.75,419.15,1230221.0,970151.0,126.8,20
LADDERUP,Outside Nifty500,No,-10.0,66.88,74.31,62133.0,7114.0,873.4,20
SRGHFL,Outside Nifty500,No,-10.0,140.4,156.0,66874.0,9088.0,735.8,20
AEROFLEX,Outside Nifty500,No,-9.99,507.6,563.95,1836440.0,1422770.0,129.1,20
TDPOWERSYS,Outside Nifty500,No,-9.86,725.5,804.9,5769493.0,1778577.0,324.4,20
WELCORP,Smallcap250,No,-9.84,2413.3,2676.6,3340619.0,3278239.0,101.9,20
DATAPATTNS,Smallcap250,No,-9.74,4358.8,4829.2,1100262.0,829176.0,132.7,20
KSHINTL,Outside Nifty500,No,-9.57,1058.85,1170.9,500166.0,276207.0,181.1,20
ANMOL,Outside Nifty500,No,-9.48,15.27,16.87,977450.0,390145.0,250.5,20
ASIANENE,Outside Nifty500,No,-9.32,485.25,535.1,855416.0,614936.0,139.1,20
ANIKINDS,Outside Nifty500,No,-9.14,40.58,44.66,23241.0,11123.0,208.9,20
RAIN,Outside Nifty500,No,-8.9,196.74,215.97,5273699.0,4363695.0,120.9,20
UMESLTD,Outside Nifty500,No,-8.85,4.53,4.97,145521.0,48589.0,299.5,20
GHCLTEXTIL,Outside Nifty500,No,-8.52,119.62,130.76,1302642.0,708311.0,183.9,20
APOLLO,Outside Nifty500,No,-8.44,386.6,422.25,9564451.0,6124066.0,156.2,20
RVTH,Outside Nifty500,No,-8.16,680.5,740.95,4976.0,1438.0,346.0,20
MANGALAM,Outside Nifty500,No,-8.01,33.54,36.46,109928.0,103201.0,106.5,20
EPACKPEB,Outside Nifty500,No,-7.98,221.26,240.44,705316.0,536587.0,131.4,20
BECTORFOOD,Outside Nifty500,No,-7.88,223.4,242.5,2295967.0,1280046.0,179.4,20
DMCC,Outside Nifty500,No,-7.67,265.5,287.55,109990.0,69477.0,158.3,20
CLEANMAX,Outside Nifty500,No,-7.65,1321.5,1431.0,405886.0,288869.0,140.5,20
AVANTEL,Outside Nifty500,No,-7.64,144.5,156.46,1853714.0,831947.0,222.8,20
SHRIKRISH,Outside Nifty500,No,-7.51,34.22,37.0,917.0,848.0,108.1,18
YASHO,Outside Nifty500,No,-7.26,3883.4,4187.5,72056.0,52620.0,136.9,20
EVEREADY,Outside Nifty500,No,-7.23,336.75,363.0,204803.0,149590.0,136.9,20
RUBFILA,Outside Nifty500,No,-7.23,63.56,68.51,103797.0,47755.0,217.4,20
KINGFA,Outside Nifty500,No,-7.15,5754.0,6197.0,37408.0,14301.0,261.6,20
ELANTAS,Outside Nifty500,No,-7.11,13481.0,14513.0,9233.0,5753.0,160.5,20
SOLARWORLD,Outside Nifty500,No,-7.11,131.42,141.48,463874.0,256866.0,180.6,20
SAHYADRI,Outside Nifty500,No,-7.1,363.15,390.9,27611.0,26193.0,105.4,20
STYL,Outside Nifty500,No,-7.02,360.2,387.4,155799.0,121941.0,127.8,20
VINDHYATEL,Outside Nifty500,No,-6.96,2617.7,2813.5,100076.0,95057.0,105.3,20
BLUESTONE,Outside Nifty500,No,-6.94,828.55,890.35,950222.0,752238.0,126.3,20
BORORENEW,Outside Nifty500,No,-6.93,461.3,495.65,720224.0,406501.0,177.2,20
BBOX,Outside Nifty500,No,-6.87,745.8,800.8,1510478.0,471933.0,320.1,20
WANBURY,Outside Nifty500,No,-6.79,223.1,239.35,227244.0,115705.0,196.4,20
TAALTECH,Outside Nifty500,No,-6.75,5012.4,5375.5,20898.0,12102.0,172.7,20
PANAMAPET,Outside Nifty500,No,-6.71,450.75,483.15,455986.0,278125.0,164.0,20
TINNARUBR,Outside Nifty500,No,-6.68,965.0,1034.05,86015.0,48389.0,177.8,20
FCL,Outside Nifty500,No,-6.65,53.88,57.72,29470137.0,24193926.0,121.8,20
GVT&D,Midcap150,No,-6.62,4246.9,4548.1,1106490.0,1019627.0,108.5,20
ELLEN,Outside Nifty500,No,-6.6,355.1,380.2,1197962.0,864646.0,138.5,20
NRBBEARING,Outside Nifty500,No,-6.57,480.85,514.65,504748.0,412105.0,122.5,20
INA,Outside Nifty500,No,-6.51,86.93,92.98,1853188.0,584063.0,317.3,20
SPORTKING,Outside Nifty500,No,-6.41,201.01,214.77,471319.0,390911.0,120.6,20
INNOVANA,Outside Nifty500,No,-6.39,306.1,327.0,29412.0,21273.0,138.3,20
KHAICHEM,Outside Nifty500,No,-6.35,50.6,54.03,260512.0,208642.0,124.9,20
APOLLOPIPE,Outside Nifty500,No,-6.25,520.2,554.9,406249.0,400411.0,101.5,20
SANSERA,Outside Nifty500,No,-6.25,3871.7,4129.9,276179.0,159478.0,173.2,20
AXISCADES,Outside Nifty500,No,-6.23,1717.7,1831.8,176313.0,172025.0,102.5,20
WELENT,Outside Nifty500,No,-6.18,737.6,786.2,4638248.0,1020632.0,454.4,20
AWFIS,Outside Nifty500,No,-6.16,275.15,293.2,3801941.0,2645055.0,143.7,20
LASERPOWER,Outside Nifty500,No,-6.16,271.9,289.75,1156486.0,911015.0,126.9,20
ARDEE,Outside Nifty500,No,-6.15,47.78,50.91,5215440.0,4979056.0,104.7,20
DEFENCE,Outside Nifty500,No,-6.15,76.88,81.92,1049090.0,274734.0,381.9,20
SBCL,Outside Nifty500,No,-6.15,1020.2,1087.0,482862.0,370747.0,130.2,20
BAJEL,Outside Nifty500,No,-6.13,168.87,179.89,305666.0,245363.0,124.6,20
ORIENTPPR,Outside Nifty500,No,-6.13,16.69,17.78,341559.0,330672.0,103.3,20
GOCOLORS,Outside Nifty500,No,-6.11,304.9,324.75,186618.0,146241.0,127.6,20
MMFL,Outside Nifty500,No,-6.0,593.8,631.7,198758.0,130904.0,151.8,20
FREDUN,Outside Nifty500,No,-5.97,1327.9,1412.2,66072.0,26065.0,253.5,20
KOTHARIPET,Outside Nifty500,No,-5.93,130.35,138.57,123365.0,91174.0,135.3,20
AUSTENG,Outside Nifty500,No,-5.9,127.31,135.29,6842.0,3423.0,199.9,20
LATTEYS,Outside Nifty500,No,-5.87,20.52,21.8,67559.0,52552.0,128.6,20
KIRLOSENG,Smallcap250,No,-5.86,2041.6,2168.6,639048.0,420381.0,152.0,20
SANGHVIMOV,Outside Nifty500,No,-5.86,401.5,426.5,514577.0,325789.0,157.9,20
KPL,Outside Nifty500,No,-5.84,3430.6,3643.3,57728.0,45264.0,127.5,20
LAXMIINDIA,Outside Nifty500,No,-5.8,121.59,129.07,330864.0,268558.0,123.2,20
UTLSOLAR,Outside Nifty500,No,-5.78,421.9,447.8,342061.0,295440.0,115.8,20
VEDPOWER,Outside Nifty500,No,-5.77,31.68,33.62,15567840.0,12328534.0,126.3,20
FILATEX,Outside Nifty500,No,-5.72,82.41,87.41,8356838.0,5826936.0,143.4,20
SERVOTECH,Outside Nifty500,No,-5.72,72.86,77.28,844722.0,301380.0,280.3,20
PROSTARM,Outside Nifty500,No,-5.68,126.04,133.63,284943.0,186429.0,152.8,20
ARVSMART,Outside Nifty500,No,-5.67,564.15,598.05,232819.0,70701.0,329.3,20
CGPOWER,NiftyNext50,Yes,-5.61,858.0,909.0,3474919.0,2521855.0,137.8,20
MODEFENCE,Outside Nifty500,No,-5.59,100.76,106.73,4664150.0,1540136.0,302.8,20
