symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
PNCINFRA,Outside Nifty500,No,-20.0,140.32,175.4,2364489.0,229716.0,1029.3,20
SUNSHINE,Outside Nifty500,No,-18.11,333.95,407.8,2476045.0,974885.0,254.0,16
SIGACHI,Outside Nifty500,No,-16.93,31.51,37.93,7128567.0,2012555.0,354.2,20
BAIDFIN,Outside Nifty500,No,-15.15,10.08,11.88,356910.0,99149.0,360.0,20
AEROENTER,Outside Nifty500,No,-14.71,116.93,137.09,877292.0,482338.0,181.9,20
SOLARINDS,NiftyNext50,Yes,-13.64,19250.0,22290.0,425477.0,57125.0,744.8,20
IVC,Outside Nifty500,No,-13.06,7.92,9.11,802468.0,581080.0,138.1,20
VTMLTD,Outside Nifty500,No,-12.91,42.17,48.42,174454.0,32368.0,539.0,20
RPEL,Outside Nifty500,No,-12.07,1622.4,1845.2,99485.0,61939.0,160.6,20
ASHOKAMET,Outside Nifty500,No,-11.98,15.14,17.2,421159.0,80109.0,525.7,20
ALMONDZ,Outside Nifty500,No,-11.97,16.84,19.13,385140.0,230911.0,166.8,20
SMSPHARMA,Outside Nifty500,No,-11.5,410.15,463.45,1286644.0,291642.0,441.2,20
INOXINDIA,Outside Nifty500,No,-11.3,1992.8,2246.6,237072.0,118602.0,199.9,20
VPRPL,Outside Nifty500,No,-10.81,32.26,36.17,518082.0,264235.0,196.1,20
CENTEXT,Outside Nifty500,No,-10.68,19.98,22.37,551129.0,228811.0,240.9,20
DUCON,Outside Nifty500,No,-10.67,1.59,1.78,2515342.0,1314856.0,191.3,20
VEDAVAAG,Outside Nifty500,No,-10.27,20.98,23.38,106279.0,73611.0,144.4,20
MARINE,Outside Nifty500,No,-10.12,376.75,419.15,585425.0,354010.0,165.4,20
DHOOTTRANS,Outside Nifty500,No,-10.0,1555.9,1728.7,1071279.0,909526.0,117.8,20
KABRAEXTRU,Outside Nifty500,No,-10.0,650.85,723.15,154410.0,133873.0,115.3,20
LADDERUP,Outside Nifty500,No,-10.0,66.88,74.31,28549.0,3819.0,747.6,20
MEDICAPQ,Outside Nifty500,No,-10.0,28.53,31.7,23421.0,17287.0,135.5,20
SRGHFL,Outside Nifty500,No,-10.0,140.4,156.0,62822.0,6768.0,928.2,20
AEROFLEX,Outside Nifty500,No,-9.99,507.6,563.95,819087.0,478179.0,171.3,20
CHEMBOND,Outside Nifty500,No,-9.95,195.52,217.12,13953.0,13939.0,100.1,20
TDPOWERSYS,Outside Nifty500,No,-9.86,725.5,804.9,2442964.0,789565.0,309.4,20
WELCORP,Smallcap250,No,-9.84,2413.3,2676.6,1615268.0,764739.0,211.2,20
DATAPATTNS,Smallcap250,No,-9.74,4358.8,4829.2,418482.0,192775.0,217.1,20
KSHINTL,Outside Nifty500,No,-9.57,1058.85,1170.9,221640.0,113539.0,195.2,20
ANMOL,Outside Nifty500,No,-9.48,15.27,16.87,480858.0,207676.0,231.5,20
ASIANENE,Outside Nifty500,No,-9.32,485.25,535.1,408363.0,214919.0,190.0,20
MIDHANI,Outside Nifty500,No,-9.29,405.85,447.4,1170208.0,497598.0,235.2,20
ANIKINDS,Outside Nifty500,No,-9.14,40.58,44.66,14896.0,7961.0,187.1,20
RAIN,Outside Nifty500,No,-8.9,196.74,215.97,2453702.0,1736710.0,141.3,20
UMESLTD,Outside Nifty500,No,-8.85,4.53,4.97,139688.0,36396.0,383.8,20
SSWL,Outside Nifty500,No,-8.54,339.0,370.65,828764.0,555672.0,149.1,20
GHCLTEXTIL,Outside Nifty500,No,-8.52,119.62,130.76,674416.0,336141.0,200.6,20
APOLLO,Outside Nifty500,No,-8.44,386.6,422.25,3539988.0,1789993.0,197.8,20
NETWEB,Smallcap250,No,-8.22,4614.0,5027.0,607417.0,331530.0,183.2,20
RVTH,Outside Nifty500,No,-8.16,680.5,740.95,2959.0,1048.0,282.3,20
MANGALAM,Outside Nifty500,No,-8.01,33.54,36.46,77017.0,65830.0,117.0,20
EPACKPEB,Outside Nifty500,No,-7.98,221.26,240.44,292326.0,200989.0,145.4,20
BECTORFOOD,Outside Nifty500,No,-7.88,223.4,242.5,902134.0,538297.0,167.6,20
DMCC,Outside Nifty500,No,-7.67,265.5,287.55,62758.0,29296.0,214.2,20
WABAG,Outside Nifty500,No,-7.66,2103.4,2277.9,375716.0,318443.0,118.0,20
CLEANMAX,Outside Nifty500,No,-7.65,1321.5,1431.0,201246.0,119775.0,168.0,20
AVANTEL,Outside Nifty500,No,-7.64,144.5,156.46,1004430.0,330227.0,304.2,20
IOLCP,Outside Nifty500,No,-7.61,179.52,194.31,2261390.0,1626210.0,139.1,20
EXICOM,Outside Nifty500,No,-7.6,168.43,182.28,751262.0,642440.0,116.9,20
SHRIKRISH,Outside Nifty500,No,-7.51,34.22,37.0,894.0,690.0,129.6,18
BALAMINES,Outside Nifty500,No,-7.5,2105.7,2276.5,121197.0,93791.0,129.2,20
KAMATHOTEL,Outside Nifty500,No,-7.4,207.6,224.2,59719.0,58979.0,101.3,20
JINDALSAW,Smallcap250,No,-7.36,289.0,311.95,1189012.0,1026043.0,115.9,20
YASHO,Outside Nifty500,No,-7.26,3883.4,4187.5,34658.0,20006.0,173.2,20
EVEREADY,Outside Nifty500,No,-7.23,336.75,363.0,85920.0,74331.0,115.6,20
RUBFILA,Outside Nifty500,No,-7.23,63.56,68.51,78110.0,36672.0,213.0,20
RESPONIND,Outside Nifty500,No,-7.19,160.82,173.27,394500.0,239740.0,164.6,20
KINGFA,Outside Nifty500,No,-7.15,5754.0,6197.0,19852.0,6796.0,292.1,20
ELANTAS,Outside Nifty500,No,-7.11,13481.0,14513.0,3091.0,1432.0,215.9,20
SOLARWORLD,Outside Nifty500,No,-7.11,131.42,141.48,225443.0,141114.0,159.8,20
