rank,symbol,index,chg_pct,close,prev_close,volume,avg20v,vol_ratio_pct,deliv,avg20d,del_ratio_pct,avg_ratio_pct
1,VISACHROME,Outside Nifty500,-4.28,33.53,35.03,10883,243592,4.5,8258,234726,3.5,4.0
2,MERCANTILE,Outside Nifty500,-7.71,22.02,23.86,3578,175545,2.0,3166,48719,6.5,4.2
3,SHIPROCKET,Outside Nifty500,-4.6,127.82,133.99,2797182,31586557,8.9,788635,7084801,11.1,10.0
4,ALKALI,Outside Nifty500,-4.92,73.45,77.25,10853,123109,8.8,6190,38678,16.0,12.4
5,CIFL,Outside Nifty500,-3.32,19.53,20.2,23450,161936,14.5,14562,139016,10.5,12.5
6,FMGOETZE,Outside Nifty500,-3.33,445.65,461.0,274593,3946915,7.0,104245,558793,18.7,12.8
7,GAJA,Outside Nifty500,-6.59,142.55,152.6,792538,6642152,11.9,382084,2158072,17.7,14.8
8,LUMINO,Outside Nifty500,-5.19,103.16,108.81,7645621,67463762,11.3,2314693,12679345,18.3,14.8
9,WEL,Outside Nifty500,-4.37,69.18,72.34,697448,9125293,7.6,392112,1575860,24.9,16.2
10,SHAH,Outside Nifty500,-4.56,3.35,3.51,1406837,11452981,12.3,902437,4042505,22.3,17.3
11,SKYWAYS,Outside Nifty500,-4.07,111.29,116.01,1875473,12159218,15.4,579763,2984780,19.4,17.4
12,NAHARINDUS,Outside Nifty500,-3.23,127.37,131.62,15027,77246,19.5,8092,44622,18.1,18.8
13,MARATHON,Outside Nifty500,-4.93,414.0,435.45,56871,515931,11.0,34122,126339,27.0,19.0
14,UDS,Outside Nifty500,-5.04,197.04,207.5,95017,482006,19.7,46247,245508,18.8,19.2
15,DALBHARAT,Midcap150,-3.39,1687.4,1746.6,56698,280219,20.2,31875,156368,20.4,20.3
16,KOHINOOR,Outside Nifty500,-4.12,29.58,30.85,72803,392966,18.5,35136,150965,23.3,20.9
17,CINELINE,Outside Nifty500,-4.67,91.81,96.31,12901,67084,19.2,7977,35168,22.7,20.9
18,DEEPA,Outside Nifty500,-9.0,169.14,185.86,3282691,15419856,21.3,975905,4587451,21.3,21.3
19,LAMBODHARA,Outside Nifty500,-5.12,130.33,137.37,16281,89766,18.1,8159,33318,24.5,21.3
20,HPIL,Outside Nifty500,-3.31,119.77,123.87,353,2903,12.2,349,1122,31.1,21.6
21,ODYCORP,Outside Nifty500,-4.18,6.88,7.18,17867,93991,19.0,14855,60799,24.4,21.7
22,OMAXE,Outside Nifty500,-4.79,118.04,123.98,801155,7545093,10.6,262722,795611,33.0,21.8
23,TVSSRICHAK,Outside Nifty500,-3.6,4960.5,5146.0,5607,37257,15.0,2558,8635,29.6,22.3
24,DJML,Outside Nifty500,-4.53,78.66,82.39,92791,399838,23.2,25518,117350,21.7,22.4
25,FACT,Smallcap250,-3.21,754.55,779.6,118792,1954021,6.1,40946,105273,38.9,22.5
26,RRECL,Outside Nifty500,-7.55,123.7,133.8,160,666,24.0,124,562,22.1,23.1
27,BOROLTD,Outside Nifty500,-3.55,248.33,257.48,135344,1311161,10.3,74625,206619,36.1,23.2
28,SBFC,Smallcap250,-3.83,94.43,98.19,630989,2987120,21.1,316713,1233720,25.7,23.4
29,SAYAJIIND,Outside Nifty500,-4.53,113.51,118.9,312,1367,22.8,311,1285,24.2,23.5
30,MODIS,Outside Nifty500,-3.04,354.4,365.5,14475,67286,21.5,8143,31397,25.9,23.7
