rank,symbol,index,fno,chg_pct,close,prev_close,volume,avg20v,vol_ratio_pct,deliv,avg20d,del_ratio_pct,avg_ratio_pct
1,RHETAN,Outside Nifty500,No,-5.0,22.81,24.01,246294,13982224,1.8,246243,5050212,4.9,3.4
2,VISACHROME,Outside Nifty500,No,-4.28,33.53,35.03,10883,243592,4.5,8258,234726,3.5,4.0
3,MERCANTILE,Outside Nifty500,No,-7.71,22.02,23.86,3578,175545,2.0,3166,48719,6.5,4.2
4,LALITHAA,Outside Nifty500,No,-4.99,321.7,338.6,947094,21151778,4.5,946810,6881144,13.8,9.2
5,SHIPROCKET,Outside Nifty500,No,-4.6,127.82,133.99,2797182,31586557,8.9,788635,7084801,11.1,10.0
6,ALKALI,Outside Nifty500,No,-4.92,73.45,77.25,10853,123109,8.8,6190,38678,16.0,12.4
7,CIFL,Outside Nifty500,No,-3.32,19.53,20.2,23450,161936,14.5,14562,139016,10.5,12.5
8,FMGOETZE,Outside Nifty500,No,-3.33,445.65,461.0,274593,3946915,7.0,104245,558793,18.7,12.8
9,GAJA,Outside Nifty500,No,-6.59,142.55,152.6,792538,6642152,11.9,382084,2158072,17.7,14.8
10,LUMINO,Outside Nifty500,No,-5.19,103.16,108.81,7645621,67463762,11.3,2314693,12679345,18.3,14.8
11,WEL,Outside Nifty500,No,-4.37,69.18,72.34,697448,9125293,7.6,392112,1575860,24.9,16.2
12,INDOTHAI,Outside Nifty500,No,-4.98,39.12,41.17,690854,4866256,14.2,440253,2299019,19.1,16.6
13,SHAH,Outside Nifty500,No,-4.56,3.35,3.51,1406837,11452981,12.3,902437,4042505,22.3,17.3
14,SKYWAYS,Outside Nifty500,No,-4.07,111.29,116.01,1875473,12159218,15.4,579763,2984780,19.4,17.4
15,SETL,Outside Nifty500,No,-5.0,444.75,468.15,194608,1500268,13.0,193107,831270,23.2,18.1
16,SHANTIGEAR,Outside Nifty500,No,-4.99,679.25,714.95,102653,1198324,8.6,42952,151155,28.4,18.5
17,NAHARINDUS,Outside Nifty500,No,-3.23,127.37,131.62,15027,77246,19.5,8092,44622,18.1,18.8
18,MARATHON,Outside Nifty500,No,-4.93,414.0,435.45,56871,515931,11.0,34122,126339,27.0,19.0
19,UDS,Outside Nifty500,No,-5.04,197.04,207.5,95017,482006,19.7,46247,245508,18.8,19.2
20,DALBHARAT,Midcap150,No,-3.39,1687.4,1746.6,56698,280219,20.2,31875,156368,20.4,20.3
21,KOHINOOR,Outside Nifty500,No,-4.12,29.58,30.85,72803,392966,18.5,35136,150965,23.3,20.9
22,CINELINE,Outside Nifty500,No,-4.67,91.81,96.31,12901,67084,19.2,7977,35168,22.7,20.9
23,DEEPA,Outside Nifty500,No,-9.0,169.14,185.86,3282691,15419856,21.3,975905,4587451,21.3,21.3
24,LAMBODHARA,Outside Nifty500,No,-5.12,130.33,137.37,16281,89766,18.1,8159,33318,24.5,21.3
25,HPIL,Outside Nifty500,No,-3.31,119.77,123.87,353,2903,12.2,349,1122,31.1,21.6
26,ODYCORP,Outside Nifty500,No,-4.18,6.88,7.18,17867,93991,19.0,14855,60799,24.4,21.7
27,OMAXE,Outside Nifty500,No,-4.79,118.04,123.98,801155,7545093,10.6,262722,795611,33.0,21.8
28,TVSSRICHAK,Outside Nifty500,No,-3.6,4960.5,5146.0,5607,37257,15.0,2558,8635,29.6,22.3
29,DJML,Outside Nifty500,No,-4.53,78.66,82.39,92791,399838,23.2,25518,117350,21.7,22.4
30,FACT,Smallcap250,No,-3.21,754.55,779.6,118792,1954021,6.1,40946,105273,38.9,22.5
