,0
AERIND,85.0
ALKAMI,26.0
APOMIC,100.0
ASIOIL,105.0
ATHENE,35.0
AZAENG,35.0
BANMAH,250.0
BHEL,180.0
BLIGVS,105.0
BUILDPRO,8.0
CAREVE,45.0
CYIDLM,95.0
DATPAT,10.0
DECGOL,175.0
DEEIN,40.0
FINCAB,25.0
FINCHE,1200.0
GENOVE,130.0
GLAPH,16.0
GODPOW,50.0
GRANUL,20.0
GRAVIN,15.0
HINAER,3.0
HINCOP,85.0
INDCOU,50.0
INOIND,15.0
IOLCHE,400.0
KRNHEA,30.0
MACDEV,20.0
MARPHA,275.0
MEESHO,250.0
NEYLIG,135.0
PARDEF,28.0
REGLEA,200.0
SAIL,165.0
SCHBAN,130.0
SEINVE,300.0
SEQSCI,100.0
SOLIN,2.0
STETEC,52.0
STOKRA,40.0
SUVLIF,180.0
SYRTEC,42.0
UJJSMA,550.0
UNICAB,20.0
VATWAB,20.0
VEDOIL,600.0
WOCKHA,15.0
