sym,entry,exit,qty,entry_px,exit_px,pnl,ret_pct,R,rate,mfe_pct,mae_pct,mfe_R,mae_R,hold
GNGELE,2025-09-22,2025-10-06,40.0,385.2276875,344.05782250000004,-1646.7945999999984,-10.687151089055602,-1.06871510890556,0.1,-2.3045299670990005,-12.039032760333457,-0.2304529967099,-1.2039032760333455,14
SAAGRE,2025-10-08,2025-10-10,50.0,490.994534,536.90176,2295.361299999999,9.349844615581816,0.9349844615581806,0.1,12.363776334829835,2.1498133419139087,1.2363776334829832,0.21498133419139084,2
BHASEA,2025-10-08,2025-10-13,100.0,209.434139,208.939265,-49.48739999999816,-0.23629098978938945,-0.02362909897893875,0.1,3.512254991054742,-2.8429648711664868,0.3512254991054742,-0.2842964871166487,5
SAAGRE,2025-10-10,2025-10-14,50.0,535.5361740000001,517.084778,-922.5698000000023,-3.445406098748438,-0.34454060987484375,0.1,-0.24016566246000126,-1.6219584076126337,-0.024016566246000126,-0.16219584076126337,4
MOSSER,2025-10-03,2025-10-14,20.0,271.8361,258.78683368421054,-260.98532631578905,-4.800416985010248,-0.4800416985010251,0.1,4.393787285794626,-6.932890811779591,0.43937872857946253,-0.693289081177959,11
MININD,2025-10-07,2025-10-16,10.0,1369.65234,1227.7084,-1419.4394000000011,-10.363501441541,-1.0363501441541005,0.1,-0.24475846184441874,-13.452489702605842,-0.024475846184441874,-1.345248970260584,9
BHASEA,2025-10-15,2025-10-17,65.0,213.86045846153846,217.4206353846154,231.41150000000096,1.6647195786860358,0.1664719578686031,0.1,9.777189148887011,-0.20128006113662167,0.9777189148887009,-0.020128006113662163,2
ASHMIN,2025-10-03,2025-10-24,15.0,710.4418066666666,609.9609235294118,-1507.2132470588213,-14.143436125852816,-1.4143436125852817,0.1,-2.518405659516787,-14.433526532987152,-0.2518405659516787,-1.443352653298715,21
ASHMIN,2025-10-03,2025-10-24,2.0,709.69745,609.9609235294118,-199.47305294117632,-14.053386618563746,-1.405338661856375,0.1,-2.4161633946972794,-14.343781283136925,-0.24161633946972794,-1.4343781283136925,21
SAAGRE,2025-10-23,2025-10-27,50.0,545.797266,480.352726,-3272.2270000000008,-11.990631700965682,-1.1990631700965686,0.1,-3.0958868892538627,-11.615533816177093,-0.3095886889253862,-1.1615533816177093,4
ZINLOG,2025-10-09,2025-10-28,20.0,670.1697,652.527724137931,-352.8395172413798,-2.632463965778964,-0.26324639657789645,0.1,9.449890080079705,-2.9424935206709524,0.9449890080079706,-0.29424935206709524,19
TDPSYS,2025-10-03,2025-10-31,12.0,642.637,742.2080916666667,1194.8531000000016,15.494142364455655,1.549414236445564,0.1,20.58129239368416,-7.358275356071919,2.058129239368416,-0.7358275356071919,28
LETRA,2025-10-06,2025-11-03,50.0,311.72646199999997,258.2677977777778,-2672.933211111109,-17.14922239172053,-1.7149222391720529,0.1,7.642449680771746,-17.39552736462905,0.7642449680771746,-1.7395527364629049,28
NALSON,2025-10-03,2025-11-03,2.0,8106.35645,6956.9824,-2298.7481000000007,-14.178676413865322,-1.4178676413865323,0.1,3.2893143996894025,-14.277147287299464,0.32893143996894025,-1.427714728729946,31
NALSON,2025-10-17,2025-11-03,1.0,8639.5633,6956.9824,-1682.5809,-19.475300331441524,-1.947530033144152,0.1,-3.0853793269851937,-19.567693890268735,-0.30853793269851937,-1.9567693890268736,17
ATHENE,2025-09-29,2025-11-04,25.0,574.172564,676.237324,2551.6189999999997,17.775973008699864,1.7775973008699868,0.1,33.38324538962123,-1.5104455600563949,3.338324538962123,-0.15104455600563949,36
AVASOF,2025-10-06,2025-11-04,50.0,206.655338,167.91646799999998,-1936.943500000001,-18.745642079664073,-1.874564207966407,0.1,2.4217433957597567,-18.76812782837479,0.24217433957597567,-1.8768127828374792,29
ZINLOG,2025-10-30,2025-11-04,40.0,685.1759275000001,645.5005,-1587.0171000000028,-5.790546034616795,-0.579054603461679,0.1,-0.11324500305071039,-4.571953894279224,-0.011324500305071039,-0.45719538942792237,5
BLUJEW,2025-10-08,2025-11-06,15.0,688.38378,672.9751971428572,-231.1287428571427,-2.238370993741723,-0.22383709937417243,0.1,10.5851157620245,-5.314445381034405,1.0585115762024502,-0.5314445381034405,29
BLUJEW,2025-10-24,2025-11-06,20.0,735.690275,672.9751971428572,-1254.3015571428577,-8.524657724630503,-0.8524657724630502,0.1,1.1023286939602306,-11.402933795747138,0.11023286939602307,-1.1402933795747139,13
ADIFIN,2025-10-16,2025-11-06,5.0,2719.4660400000002,3215.9559,2482.4492999999984,18.256887664609334,1.8256887664609323,0.1,20.611912476759574,-0.25615469719195705,2.0611912476759575,-0.025615469719195705,21
MAGFI,2025-09-29,2025-11-06,25.0,501.05705199999994,467.427356,-840.7423999999992,-6.711749862768112,-0.6711749862768116,0.1,8.271103626738308,-7.615310840890022,0.8271103626738308,-0.7615310840890022,38
MAGFI,2025-10-03,2025-11-06,25.0,527.660296,467.427356,-1505.823500000001,-11.41509801980629,-1.1415098019806296,0.1,2.81235941238982,-12.273103830423516,0.281235941238982,-1.2273103830423513,34
KIOLIM,2025-10-08,2025-11-06,20.0,539.7345750000001,413.927355,-2516.144400000002,-23.309090398739063,-2.330909039873906,0.1,-3.8694158142453694,-25.305878356968346,-0.38694158142453694,-2.5305878356968345,29
SAISIK,2025-10-28,2025-11-06,75.0,221.94875466666664,173.26649733333335,-3651.1692999999973,-21.934007877830474,-2.1934007877830473,0.1,-9.731415118370323,-21.689130330541275,-0.9731415118370323,-2.1689130330541273,9
ROSTEC,2025-09-22,2025-11-06,10.0,807.17254,616.89841,-1902.7413000000001,-23.572919118383297,-2.357291911838329,0.1,-1.625741628921129,-24.161196068439107,-0.16257416289211288,-2.4161196068439104,45
SUBROS,2025-10-06,2025-11-06,15.0,1126.1629533333332,1026.6833933333332,-1492.1933999999999,-8.833496050065415,-0.8833496050065412,0.1,3.359819869289149,-10.616843058052872,0.3359819869289149,-1.0616843058052872,31
ZINLOG,2025-11-06,2025-11-06,40.0,717.540475,681.1496500000001,-1455.632999999998,-5.0716058909429425,-0.507160589094294,0.1,-7.001761816990193,-7.001761816990193,-0.7001761816990193,-0.7001761816990193,0
ECLSER,2025-10-28,2025-11-07,3.0,4735.5165,4257.051942857143,-1435.3936714285692,-10.10374596187884,-1.0103745961878845,0.1,0.060890929215418055,-9.629709874308324,0.0060890929215418055,-0.9629709874308323,10
QUAPOW,2025-09-23,2025-11-10,20.0,1035.07825,896.9255150000001,-2763.054699999998,-13.347081247239023,-1.3347081247239025,0.1,3.3061993139166024,-14.383284548776864,0.3306199313916602,-1.4383284548776865,48
RUBRES,2025-11-03,2025-11-10,30.0,647.86083,617.03307,-924.8328000000004,-4.758392323240168,-0.4758392323240164,0.1,0.8858646385520919,-4.269563572781509,0.08858646385520919,-0.42695635727815084,7
CARTEC,2025-10-28,2025-11-14,5.0,2735.49656,3101.310388888889,1829.069144444445,13.372849165231226,1.3372849165231229,0.1,16.32257362443914,4.902343580355284,1.6322573624439138,0.4902343580355284,17
LENSOL,2025-11-10,2025-11-14,40.0,409.3112,390.8288375,-739.2944999999986,-4.515479297903391,-0.4515479297903396,0.1,2.904587023272276,-2.2381991990446437,0.2904587023272276,-0.22381991990446434,4
ANRASH,2025-11-04,2025-11-14,25.0,538.882248,707.27954,4209.9322999999995,31.249367115912108,3.1249367115912117,0.1,36.096522518960384,-0.2936166492535919,3.6096522518960383,-0.029361664925359188,10
AVATE,2025-10-06,2025-11-18,12.0,1121.9554916666666,996.9392904761904,-1500.1944142857142,-11.142705937894593,-1.1142705937894597,0.1,11.662183509522617,-11.957291769870338,1.1662183509522615,-1.1957291769870335,43
AVATE,2025-10-07,2025-11-18,9.0,1240.2492333333334,996.9392904761904,-2189.7894857142874,-19.617826507597623,-1.9617826507597627,0.1,1.0119552045950275,-20.354717950910796,0.10119552045950275,-2.0354717950910794,42
LEMTRE,2025-10-03,2025-11-18,50.0,173.649094,155.1603528,-924.4370599999996,-10.647185524618974,-1.0647185524618974,0.1,-0.23558660202395165,-10.670423653347704,-0.023558660202395165,-1.0670423653347705,46
MBENGL,2025-11-07,2025-11-18,25.0,507.018844,418.967892,-2201.2738,-17.36640620797124,-1.7366406207971234,0.1,1.426210501951286,-17.0938112114823,0.1426210501951286,-1.7093811211482302,11
GUJMI,2025-09-23,2025-11-18,15.0,596.1981933333334,539.6425771428571,-848.3342428571439,-9.486042866764633,-0.9486042866764628,0.1,5.719877558837272,-8.839039420548856,0.5719877558837272,-0.8839039420548855,56
