segment,label,n,total_debit,total_credit,date_min,date_max
NSE-CAPITAL,POSITION CLOSE FOR BILL DATE MBILL,75,6775322.9,0.0,01/06/2026,31/08/2026
NSE-CAPITAL,Upstreamed Amount Released from Upstream PAYBNK,86,4849729.32,0.0,01/06/2026,31/08/2026
NSE-CAPITAL,2026 BILL POSTED,35,2902629.58,1357158.64,02/09/2026,31/08/2026
NSE-CAPITAL,Upstreamed Amount Released from I-Sec PAYBNK,30,2062343.1199999999,0.0,01/06/2026,31/08/2026
MTF-MTF-TRADE,2026 DBNOTE NSE Margin Payout,18,777916.67,0.0,03/06/2026,31/08/2026
NSE-CAPITAL,"13/05/2026 14-05-26 BILL POSTED 226,337.75 0.00 367,229.44 CR PAYBNK Being Payout towards NSE M",1,464238.26,0.0,13/05/2026,13/05/2026
NSE-CAPITAL,BILL POSTED,7,404567.93,561594.59,01/04/2026,23/06/2026
NSE-CAPITAL,"20/07/2026 20-07-26 PAYBNK Upstreamed Amount Released 8,822.97 0.00 466,445.83 CR PAYBNK Being Payout towards NSE M",1,395406.58,0.0,20/07/2026,20/07/2026
NSE-CAPITAL,2026 MBILL POSITION CLOSE FOR BILL DATE,2,371759.95,0.0,07/07/2026,09/07/2026
MTF-MTF-TRADE,MTF BILL FOR BILL DATE Jun 17 MBILL,1,369249.7,0.0,17/06/2026,17/06/2026
NSE-CAPITAL,"07/07/2026 07-07-26 REPBNK Upstreamed Amount Collected 0.00 135,330.02 252,484.56 CR MBILL POSITION CLOSE FOR BILL DATE",1,341210.83,0.0,08/07/2026,08/07/2026
MTF-MTF-TRADE,MTF BILL FOR BILL DATE May 21 MBILL,1,321493.03,0.0,21/05/2026,21/05/2026
MTF-MTF-TRADE,MTF BILL FOR BILL DATE May 20 MBILL,1,315858.05,0.0,20/05/2026,20/05/2026
MTF-MTF-TRADE,MTF BILL FOR BILL DATE May 29 MBILL,1,306152.1,0.0,29/05/2026,29/05/2026
NSE-CAPITAL,balance DBNOTE NSE Margin Payin,8,296923.77,0.0,03/08/2026,29/06/2026
NSE-CAPITAL,"27/08/2026 28-08-26 BILL POSTED 2,078.40 0.00 286,585.90 CR PAYBNK Upstreamed Amount Released",1,283405.54,0.0,27/08/2026,27/08/2026
NSE-CAPITAL,"29/06/2026 30-06-26 BILL POSTED 36,342.32 0.00 258,887.05 CR BILL POSTED",1,280374.43,0.0,29/06/2026,29/06/2026
MTF-MTF-TRADE,ONE TIME MAINT. MARGIN ALLOC FOR DATE: DBNOTE,1,268320.9,0.0,12/06/2026,12/06/2026
NSE-CAPITAL,"24/06/2026 24-06-26 MBILL 122,764.98 0.00 136,805.67 CR BILL POSTED",1,261605.09,0.0,24/06/2026,24/06/2026
