file,segment,n_rows,stated_total_debit,stated_total_credit,parsed_total_debit,parsed_total_credit,delta_debit,delta_credit
421201_8509005322622_20260713_1115464_SOFW.txt,BSE-CAPITAL,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260713_1115464_SOFW.txt,MTF-MTF-TRADE,36,1701985.97,1274625.11,1083124.28,1274625.11,-618861.69,0.0
421201_8509005322622_20260713_1115464_SOFW.txt,NSE-CAPITAL,117,2306115.0,2560058.57,2306115.0,2538254.35,0.0,-21804.22
421201_8509005322622_20260713_1115464_SOFW.txt,NSE-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260713_1115464_SOFW.txt,NSX-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260721_1116431_SOFW.txt,BSE-CAPITAL,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260721_1116431_SOFW.txt,MTF-MTF-TRADE,41,1293443.12,910387.27,866082.26,910387.27,-427360.86,-0.0
421201_8509005322622_20260721_1116431_SOFW.txt,NSE-CAPITAL,95,1491787.13,1110760.7,1491787.13,1092281.25,-0.0,-18479.45
421201_8509005322622_20260721_1116431_SOFW.txt,NSE-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260721_1116431_SOFW.txt,NSX-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260727_1115426_SOFW.txt,BSE-CAPITAL,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260727_1115426_SOFW.txt,MTF-MTF-TRADE,26,873138.43,686017.85,490082.58,686017.85,-383055.85,0.0
421201_8509005322622_20260727_1115426_SOFW.txt,NSE-CAPITAL,97,1662472.4,1543866.09,1662472.4,1025190.41,0.0,-518675.68
421201_8509005322622_20260727_1115426_SOFW.txt,NSE-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260727_1115426_SOFW.txt,NSX-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260803_1115151_SOFW.txt,BSE-CAPITAL,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260803_1115151_SOFW.txt,MTF-MTF-TRADE,22,492353.89,273791.01,305233.31,273791.01,-187120.58,-0.0
421201_8509005322622_20260803_1115151_SOFW.txt,NSE-CAPITAL,64,530469.07,751590.05,530469.07,733062.18,0.0,-18527.87
421201_8509005322622_20260803_1115151_SOFW.txt,NSE-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260803_1115151_SOFW.txt,NSX-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260810_1115214_SOFW.txt,BSE-CAPITAL,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260810_1115214_SOFW.txt,MTF-MTF-TRADE,43,902195.76,517032.15,683632.88,517032.15,-218562.88,-0.0
421201_8509005322622_20260810_1115214_SOFW.txt,NSE-CAPITAL,102,975270.22,1000575.19,975270.22,1000575.04,0.0,-0.15
421201_8509005322622_20260810_1115214_SOFW.txt,NSE-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260810_1115214_SOFW.txt,NSX-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260817_1115938_SOFW.txt,BSE-CAPITAL,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260817_1115938_SOFW.txt,MTF-MTF-TRADE,43,993631.9,626624.89,608468.29,626624.89,-385163.61,0.0
421201_8509005322622_20260817_1115938_SOFW.txt,NSE-CAPITAL,136,1355744.3,1457768.02,1355744.3,1365956.72,0.0,-91811.3
421201_8509005322622_20260817_1115938_SOFW.txt,NSE-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260817_1115938_SOFW.txt,NSX-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260824_1116034_SOFW.txt,BSE-CAPITAL,0,0.0,0.0,0.0,0.0,0.0,0.0
421201_8509005322622_20260824_1116034_SOFW.txt,MTF-MTF-TRADE,38,779674.61,460747.72,412667.6,460747.72,-367007.01,0.0
421201_8509005322622_20260824_1116034_SOFW.txt,NSE-CAPITAL,105,981619.58,1111293.59,981619.58,1111293.41,0.0,-0.18
421201_8509005322622_20260824_1116034_SOFW.txt,NSE-FUTURES,0,0.0,0.0,0.0,0.0,0.0,0.0
