Date,Opening_Cash_Balance,Cost_Value_of_Holdings,Market_Value_of_Holdings,Gain_Loss_Unrealised,Buy_Trade_Value,Sell_Trade_Value,Trade_Cash_Flow_Impact,Gain_Loss_Realised_Cumulative,Closing_Cash_Balance,Net_Assets,Rebased_NAV,Unpriced_Symbols,Unpriced_Cost_Basis,MTF_Loan_Balance,Loan_Balance_Source,Financing_Cost_Cum_Advisory,Financing_Cost_Cum_SOF,Closing_Cash_Balance_MTF,Net_Assets_MTF,Rebased_NAV_MTF
2025-09-21,110000.0,1479670.0,1479670.0,0.0,0.0,0.0,0.0,0.0,110000.0,1589670.0,100.0,,0.0,0.0,PRE-MTF(no loan),0.0,0.0,110000.0,1589670.0,100.0
2025-09-22,110000.0,1426333.51,1420737.8,-5595.71,32426.01,83908.03,51482.02,-1854.47,161482.02,1582219.82,99.53,,0.0,0.0,PRE-MTF(no loan),0.0,0.0,161482.02,1582219.82,99.53
2025-09-23,161482.02,1455978.04,1450769.8,-5208.24,29644.54,0.0,-29644.54,-1854.47,131837.48,1582607.28,99.56,,0.0,0.0,PRE-MTF(no loan),0.0,0.0,131837.48,1582607.28,99.56
2025-09-24,131837.48,1455978.04,1436809.65,-19168.39,0.0,0.0,0.0,-1854.47,131837.48,1568647.13,98.68,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,131837.48,1568647.13,98.68
2025-09-25,131837.48,1455978.04,1427181.1,-28796.94,0.0,0.0,0.0,-1854.47,131837.48,1559018.58,98.07,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,131837.48,1559018.58,98.07
2025-09-26,131837.48,1120775.04,1082283.1,-38491.94,0.0,313978.74,313978.74,-23078.74,445816.22,1528099.32,96.13,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,445816.22,1528099.32,96.13
2025-09-29,445816.22,1127260.14,1100280.15,-26979.99,57093.1,45465.12,-11627.98,-28221.62,434188.24,1534468.39,96.53,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,434188.24,1534468.39,96.53
2025-09-30,434188.24,1097715.93,1066163.4,-31552.53,45621.92,75312.38,29690.46,-28075.37,463878.7,1530042.1,96.25,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,463878.7,1530042.1,96.25
2025-10-01,463878.7,1097715.93,1083508.04,-14207.89,0.0,0.0,0.0,-28075.37,463878.7,1547386.74,97.34,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,463878.7,1547386.74,97.34
2025-10-03,463878.7,1157362.7,1150185.45,-7177.25,79310.77,27897.91,-51412.86,-19841.46,412465.84,1562651.29,98.3,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,412465.84,1562651.29,98.3
2025-10-06,412465.84,1193714.28,1192674.32,-1039.96,107507.69,67574.64,-39933.05,-23422.92,372532.79,1565207.11,98.46,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,372532.79,1565207.11,98.46
2025-10-07,372532.79,1258236.08,1262676.41,4440.33,64521.8,0.0,-64521.8,-23422.92,308010.99,1570687.4,98.81,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,308010.99,1570687.4,98.81
2025-10-08,308010.99,1291968.19,1289861.14,-2107.05,80866.11,50727.93,-30138.18,-19828.99,277872.81,1567733.95,98.62,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,277872.81,1567733.95,98.62
2025-10-09,277872.81,1319289.22,1322880.82,3591.6,49841.89,29288.94,-20552.95,-13060.92,257319.86,1580200.68,99.4,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,257319.86,1580200.68,99.4
2025-10-10,257319.86,1346398.0,1338300.59,-8097.41,61490.51,42014.27,-19476.24,-5428.38,237843.62,1576144.21,99.15,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,237843.62,1576144.21,99.15
2025-10-13,237843.62,1325454.58,1313078.44,-12376.14,0.0,20893.93,20893.93,-5477.87,258737.55,1571815.99,98.88,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,258737.55,1571815.99,98.88
2025-10-14,258737.55,1261349.05,1233975.89,-27373.16,0.0,61139.26,61139.26,-8444.14,319876.81,1553852.7,97.75,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,319876.81,1553852.7,97.75
2025-10-15,319876.81,1275249.98,1265741.23,-9508.75,13900.93,0.0,-13900.93,-8444.14,305975.88,1571717.11,98.87,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,305975.88,1571717.11,98.87
2025-10-16,305975.88,1280739.45,1276698.76,-4040.69,74115.99,62559.23,-11556.76,-14511.43,294419.12,1571117.88,98.83,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,294419.12,1571117.88,98.83
2025-10-17,294419.12,1275478.09,1268426.38,-7051.71,8639.56,14132.34,5492.78,-14280.02,299911.9,1568338.28,98.66,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,299911.9,1568338.28,98.66
2025-10-20,299911.9,1275478.09,1275133.69,-344.4,0.0,0.0,0.0,-14280.02,299911.9,1575045.59,99.08,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,299911.9,1575045.59,99.08
2025-10-21,299911.9,1275478.09,1290567.44,15089.35,0.0,0.0,0.0,-14280.02,299911.9,1590479.34,100.05,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,299911.9,1590479.34,100.05
2025-10-23,299911.9,1357343.02,1347808.02,-9535.0,81864.93,0.0,-81864.93,-14280.02,218046.97,1565854.98,98.5,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,218046.97,1565854.99,98.5
2025-10-24,218046.97,1293739.97,1283975.2,-9764.77,57861.13,109801.54,51940.41,-25942.66,269987.38,1553962.58,97.75,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,269987.38,1553962.58,97.75
2025-10-27,269987.38,1266450.1,1262700.25,-3749.85,0.0,24017.64,24017.64,-29214.88,294005.01,1556705.26,97.93,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,294005.01,1556705.26,97.93
2025-10-28,294005.01,1302308.84,1298750.2,-3558.64,71994.13,37846.61,-34147.52,-27503.67,259857.49,1558607.69,98.05,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,259857.49,1558607.69,98.05
2025-10-29,259857.49,1379431.49,1380777.3,1345.81,77122.65,0.0,-77122.65,-27503.67,182734.84,1563512.14,98.35,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,182734.84,1563512.14,98.35
2025-10-30,182734.84,1439739.45,1434030.9,-5708.55,60307.96,0.0,-60307.96,-27503.67,122426.89,1556457.79,97.91,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,122426.89,1556457.79,97.91
2025-10-31,122426.89,1426456.25,1419645.35,-6810.9,0.0,17812.99,17812.99,-22973.87,140239.88,1559885.23,98.13,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,140239.88,1559885.23,98.13
2025-11-03,140239.88,1396496.78,1410310.4,13813.62,71643.14,91928.58,20285.44,-32647.89,160525.32,1570835.72,98.82,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,160525.32,1570835.72,98.82
2025-11-04,160525.32,1334066.54,1340342.95,6276.41,13472.06,72639.6,59167.55,-35910.59,219692.87,1560035.82,98.14,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,219692.87,1560035.82,98.14
2025-11-06,219692.87,1168914.88,1162484.75,-6430.13,38936.8,186545.55,147608.74,-53453.51,367301.62,1529786.37,96.23,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,367301.62,1529786.37,96.23
2025-11-07,367301.62,1206729.02,1208211.7,1482.68,69101.7,29799.36,-39302.33,-54941.7,327999.28,1536210.98,96.64,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,327999.28,1536210.98,96.64
2025-11-10,327999.28,1160029.77,1165764.65,5734.88,16372.45,59395.66,43023.22,-58617.74,371022.5,1536787.15,96.67,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,371022.5,1536787.15,96.67
2025-11-11,371022.5,1160029.77,1164058.4,4028.63,0.0,0.0,0.0,-58617.74,371022.5,1535080.9,96.57,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,371022.5,1535080.9,96.57
2025-11-12,371022.5,1160029.77,1176911.95,16882.18,0.0,0.0,0.0,-58617.74,371022.5,1547934.45,97.37,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,371022.5,1547934.45,97.37
2025-11-13,371022.5,1184867.67,1195908.0,11040.33,24837.91,0.0,-24837.91,-58617.74,346184.59,1542092.59,97.01,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,346184.59,1542092.59,97.01
2025-11-14,346184.59,1131183.68,1140126.45,8942.77,0.0,61226.94,61226.94,-51074.79,407411.53,1547537.98,97.35,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,407411.53,1547537.98,97.35
2025-11-17,407411.53,1157919.4,1171452.55,13533.15,39947.71,12583.01,-27364.7,-51703.78,380046.82,1551499.37,97.6,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,380046.82,1551499.37,97.6
2025-11-18,380046.82,1113514.35,1126369.55,12855.2,62587.56,94224.16,31636.6,-64472.23,411683.42,1538052.97,96.75,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,411683.42,1538052.97,96.75
2025-11-19,411683.42,939142.43,942282.4,3139.97,0.0,176724.0,176724.0,-62120.16,588407.42,1530689.82,96.29,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,588407.42,1530689.82,96.29
2025-11-20,588407.42,974883.43,978562.1,3678.67,54485.87,15786.72,-38699.16,-65078.31,549708.26,1528270.36,96.14,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,549708.26,1528270.36,96.14
2025-11-21,549708.26,1019231.44,1008399.15,-10832.29,66099.13,19117.64,-46981.49,-67711.78,502726.78,1511125.93,95.06,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,502726.78,1511125.93,95.06
2025-11-24,502726.78,967826.12,958531.4,-9294.72,0.0,44482.14,44482.14,-74634.97,547208.91,1505740.31,94.72,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,547208.91,1505740.31,94.72
2025-11-25,547208.91,965053.92,963639.05,-1414.87,29830.48,29245.67,-584.81,-77991.98,546624.1,1510263.15,95.0,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,546624.1,1510263.15,95.0
2025-11-26,546624.1,965053.92,972087.65,7033.73,0.0,0.0,0.0,-77991.98,546624.1,1518711.75,95.54,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,546624.1,1518711.75,95.54
2025-11-27,546624.1,894570.33,904165.75,9595.42,0.0,70378.01,70378.01,-78097.56,617002.12,1521167.87,95.69,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,617002.12,1521167.87,95.69
2025-11-28,617002.12,896787.72,910598.65,13810.93,25511.39,21110.59,-4400.8,-80280.97,612601.32,1523199.97,95.82,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,612601.32,1523199.97,95.82
2025-12-01,612601.32,896787.72,913658.1,16870.38,0.0,0.0,0.0,-80280.97,612601.32,1526259.42,96.01,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,612601.32,1526259.42,96.01
2025-12-02,612601.32,847469.77,852549.95,5080.18,0.0,50920.54,50920.54,-78678.37,663521.86,1516071.81,95.37,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,663521.86,1516071.81,95.37
2025-12-03,663521.86,860043.6,858187.3,-1856.3,12573.84,0.0,-12573.84,-78678.37,650948.02,1509135.32,94.93,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,650948.02,1509135.32,94.93
2025-12-04,650948.02,875893.43,870925.1,-4968.33,41106.83,19987.72,-21119.12,-83947.66,629828.91,1500754.01,94.41,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,629828.91,1500754.01,94.41
2025-12-05,629828.91,827660.9,824005.45,-3655.45,0.0,45722.95,45722.95,-86457.24,675551.86,1499557.31,94.33,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,675551.86,1499557.31,94.33
2025-12-08,675551.86,765466.64,756805.95,-8660.69,8972.69,61655.77,52683.08,-95968.43,728234.93,1485040.88,93.42,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,728234.93,1485040.88,93.42
2025-12-09,728234.93,627584.49,635012.45,7427.96,0.0,127112.54,127112.54,-106738.03,855347.48,1490359.93,93.75,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,855347.48,1490359.93,93.75
2025-12-10,855347.48,677217.61,682930.3,5712.69,49633.12,0.0,-49633.12,-106738.03,805714.36,1488644.66,93.64,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,805714.36,1488644.66,93.64
2025-12-11,805714.36,687269.27,695952.15,8682.88,10051.66,0.0,-10051.66,-106738.03,795662.7,1491614.85,93.83,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,795662.7,1491614.85,93.83
2025-12-12,795662.7,743721.44,763062.3,19340.86,56452.18,0.0,-56452.18,-106738.03,739210.52,1502272.82,94.5,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,739210.52,1502272.82,94.5
2025-12-15,739210.52,743721.44,767826.05,24104.61,0.0,0.0,0.0,-106738.03,739210.52,1507036.57,94.8,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,739210.52,1507036.57,94.8
2025-12-16,739210.52,743721.44,759236.8,15515.36,0.0,0.0,0.0,-106738.03,739210.52,1498447.32,94.26,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,739210.52,1498447.32,94.26
2025-12-17,739210.52,728591.51,740843.05,12251.54,0.0,16348.26,16348.26,-105519.71,755558.78,1496401.83,94.13,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,755558.78,1496401.83,94.13
2025-12-18,755558.78,788366.02,802255.6,13889.58,59774.51,0.0,-59774.51,-105519.71,695784.27,1498039.87,94.24,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,695784.27,1498039.87,94.24
2025-12-19,695784.27,794861.43,815198.95,20337.52,49583.52,48265.58,-1317.94,-100342.24,694466.33,1509665.28,94.97,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,694466.33,1509665.28,94.97
2025-12-22,694466.33,875353.64,903235.65,27882.01,98157.51,20782.71,-77374.8,-97224.83,617091.53,1520327.18,95.64,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,617091.53,1520327.18,95.64
2025-12-23,617091.53,989900.42,1022693.9,32793.48,114546.78,0.0,-114546.78,-97224.83,502544.75,1525238.65,95.95,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,502544.75,1525238.65,95.95
2025-12-24,502544.75,1126825.42,1164434.9,37609.48,144844.53,10882.59,-133961.94,-94261.77,368582.81,1533017.71,96.44,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,368582.81,1533017.71,96.44
2025-12-26,368582.81,1175552.78,1218839.25,43286.47,79250.09,27345.74,-51904.35,-97438.75,316678.47,1535517.72,96.59,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,316678.47,1535517.72,96.59
2025-12-29,316678.47,1168061.31,1186600.45,18539.14,121836.51,152864.37,31027.86,-73902.36,347706.32,1534306.77,96.52,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,347706.32,1534306.77,96.52
2025-12-30,347706.32,1263998.4,1297086.7,33088.3,95937.09,0.0,-95937.09,-73902.36,251769.24,1548855.94,97.43,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,251769.24,1548855.94,97.43
2025-12-31,251769.24,1263998.4,1298075.75,34077.35,0.0,0.0,0.0,-73902.36,251769.24,1549844.99,97.49,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,251769.24,1549844.99,97.49
2026-01-01,251769.24,1354825.52,1389420.15,34594.63,127879.6,33569.83,-94309.76,-77385.0,157459.48,1546879.63,97.31,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,157459.48,1546879.63,97.31
2026-01-02,157459.48,1407780.77,1467233.55,59452.78,85070.78,27079.68,-57991.1,-82420.86,99468.38,1566701.93,98.56,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,99468.38,1566701.93,98.56
2026-01-05,99468.38,1344172.28,1398471.1,54298.82,7319.62,68007.48,60687.86,-85341.48,160156.23,1558627.33,98.05,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,160156.23,1558627.33,98.05
2026-01-06,160156.23,1313769.03,1363855.0,50085.97,43010.95,78671.96,35661.01,-80083.73,195817.24,1559672.24,98.11,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,195817.24,1559672.24,98.11
2026-01-07,195817.24,1384314.7,1435575.3,51260.6,79245.65,9023.28,-70222.36,-79760.42,125594.88,1561170.18,98.21,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,125594.88,1561170.18,98.21
2026-01-08,125594.88,1344748.11,1361076.8,16328.69,22257.88,62785.62,40527.73,-78799.27,166122.61,1527199.41,96.07,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,166122.61,1527199.41,96.07
2026-01-09,166122.61,1265273.4,1262732.3,-2541.1,0.0,79980.07,79980.07,-78293.92,246102.68,1508834.98,94.91,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,246102.68,1508834.98,94.91
2026-01-12,246102.68,1177439.13,1180705.95,3266.82,0.0,84694.73,84694.73,-81433.46,330797.41,1511503.36,95.08,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,330797.41,1511503.36,95.08
2026-01-13,330797.41,1175470.5,1179920.3,4449.8,17080.64,20980.1,3899.46,-79502.63,334696.88,1514617.18,95.28,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,334696.88,1514617.18,95.28
2026-01-14,334696.88,1168189.42,1182168.55,13979.13,15310.47,26811.1,11500.62,-75283.08,346197.5,1528366.05,96.14,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,346197.5,1528366.05,96.14
2026-01-16,346197.5,1245585.24,1260030.25,14445.01,141847.0,61038.71,-80808.29,-78695.55,265389.21,1525419.46,95.96,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,265389.21,1525419.46,95.96
2026-01-19,265389.21,1109730.53,1126092.3,16361.77,0.0,126361.44,126361.44,-88188.82,391750.65,1517842.95,95.48,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,391750.65,1517842.95,95.48
2026-01-20,391750.65,869811.28,866619.85,-3191.43,22080.07,257520.5,235440.43,-92667.64,627191.08,1493810.93,93.97,BUILDPRO,4979.84,0.0,PRE-MTF(no loan),0.0,0.0,627191.08,1493810.93,93.97
