,computed_2026_08_28,post_cutoff_net,projected_2026_09_05,broker_2026_09_05,diff
AEQLIM,0.0,100.0,100.0,100.0,0.0
AERIND,85.0,0.0,85.0,85.0,0.0
ALKAMI,26.0,0.0,26.0,26.0,0.0
APOMIC,100.0,-100.0,0.0,0.0,0.0
ASIOIL,105.0,0.0,105.0,105.0,0.0
ATHENE,35.0,0.0,35.0,35.0,0.0
AZAENG,35.0,-15.0,20.0,20.0,0.0
BANMAH,250.0,0.0,250.0,250.0,0.0
BHEL,180.0,0.0,180.0,180.0,0.0
BLIGVS,105.0,-15.0,90.0,90.0,0.0
CAREVE,45.0,0.0,45.0,45.0,0.0
CYIDLM,95.0,-95.0,0.0,0.0,0.0
DATPAT,10.0,1.0,11.0,11.0,0.0
DECGOL,175.0,-175.0,0.0,0.0,0.0
DEEIN,40.0,35.0,75.0,75.0,0.0
FINCAB,25.0,-25.0,0.0,0.0,0.0
FINCHE,1200.0,250.0,1450.0,1450.0,0.0
GENOVE,130.0,0.0,130.0,130.0,0.0
GLAPH,16.0,10.0,26.0,26.0,0.0
GODPOW,50.0,0.0,50.0,50.0,0.0
GRANUL,20.0,20.0,40.0,40.0,0.0
GRAVIN,15.0,-15.0,0.0,0.0,0.0
HEG,0.0,0.0,0.0,0.0,0.0
HINAER,3.0,0.0,3.0,3.0,0.0
HINCOP,85.0,0.0,85.0,85.0,0.0
INDCOU,50.0,-50.0,0.0,0.0,0.0
INOIND,15.0,5.0,20.0,20.0,0.0
IOLCHE,400.0,-75.0,325.0,325.0,0.0
KIRENG,0.0,10.0,10.0,10.0,0.0
KRNHEA,30.0,8.0,38.0,38.0,0.0
LLOST,0.0,0.0,0.0,0.0,0.0
MACDEV,20.0,0.0,20.0,20.0,0.0
MARPHA,275.0,5.0,280.0,280.0,0.0
MEESHO,250.0,0.0,250.0,250.0,0.0
MISDHA,0.0,100.0,100.0,100.0,0.0
MOTSUM,0.0,0.0,0.0,0.0,0.0
NEYLIG,135.0,0.0,135.0,135.0,0.0
ONTECH,0.0,0.0,0.0,75.0,-75.0
PARDEF,28.0,-8.0,20.0,20.0,0.0
REGLEA,200.0,-50.0,150.0,150.0,0.0
SAIL,165.0,0.0,165.0,165.0,0.0
SCHBAN,130.0,0.0,130.0,130.0,0.0
SEINVE,300.0,250.0,550.0,550.0,0.0
SEQSCI,100.0,0.0,100.0,100.0,0.0
SHAPRO,0.0,0.0,8.0,8.0,0.0
SOLIN,2.0,0.0,2.0,2.0,0.0
STETEC,52.0,0.0,52.0,52.0,0.0
STOKRA,40.0,27.0,67.0,67.0,0.0
SUVLIF,180.0,10.0,190.0,190.0,0.0
SYRTEC,42.0,-12.0,30.0,30.0,0.0
UJJSMA,550.0,0.0,550.0,550.0,0.0
UNICAB,20.0,0.0,20.0,20.0,0.0
VATWAB,20.0,0.0,20.0,20.0,0.0
VEDOIL,600.0,-600.0,0.0,0.0,0.0
WOCKHA,15.0,5.0,20.0,20.0,0.0
