date,mtf_balance,draw,repay,interest,pledge_sof,pledge_dn
2026-04-27,70105.1,147374.9,77269.8,,,
2026-04-28,147526.44,167103.0,89681.66,,,
2026-04-29,259615.29,185369.26,73280.41,0.0,125.0,147.5
2026-04-30,203852.43,26650.239999999998,82413.09999999999,18.53,0.0,0.0
2026-05-01,,,,39.0,175.0,206.5
2026-05-02,,,,61.99,0.0,0.0
2026-05-04,323414.38,207091.33000000002,87529.38,123.98,0.0,0.0
2026-05-05,290619.32,88278.0,121073.06,61.99,275.0,324.5
2026-05-06,259027.83,17562.31,49153.8,52.91,0.0,0.0
2026-05-07,288661.63,114527.47,84893.67,71.35,375.0,442.5
2026-05-08,414936.19,145093.47,18818.91,71.06,25.0,29.5
2026-05-09,,,,68.4,175.0,206.5
2026-05-11,428994.67,164400.73,150342.25,152.06,0.0,0.0
2026-05-12,54502.96,271063.98,645555.6900000001,76.03,375.0,442.5
2026-05-13,107396.66,205049.3,152155.6,91.89,225.0,265.5
2026-05-14,97655.74,64549.7,74290.62,101.26,550.0,649.0
2026-05-15,105364.04,26601.7,18893.4,14.41,0.0,0.0
2026-05-16,,,,28.32,175.0,206.5
2026-05-18,83052.91,154503.69999999998,176814.83000000002,51.64,0.0,0.0
2026-05-19,53282.07,36626.53,66397.37,25.82,75.0,88.5
2026-05-20,205417.77,468962.83999999997,316827.14,27.58,225.0,265.5
2026-05-21,401299.48,416125.45,220243.74,11.07,0.0,0.0
2026-05-22,411850.1,143397.06,132846.44,14.09,50.0,59.0
2026-05-23,,,,54.31,425.0,501.5
2026-05-25,430133.89,112788.36,94504.57,188.68,0.0,0.0
2026-05-26,377941.36,175856.79,228049.32,94.34,0.0,0.0
2026-05-27,382122.93,138725.58000000002,134544.01,107.2,675.0,796.5
2026-05-28,,,,107.56,250.0,295.0
2026-05-29,571466.4,342313.87999999995,152970.40999999997,94.51,0.0,0.0
2026-05-30,,,,94.51,425.0,501.5
2026-06-01,435243.47,215452.97,351675.89999999997,195.4,0.0,0.0
2026-06-02,487596.85,273714.22,221360.84,97.7,250.0,295.0
2026-06-03,428034.78,287873.47,347435.54,119.33,675.0,796.5
2026-06-04,488217.23,381200.76,321018.31,109.42,75.0,88.5
2026-06-05,578701.49,261504.05,171019.78999999998,127.95,675.0,796.5
2026-06-06,,,,101.12,575.0,678.5
2026-06-08,557688.81,78251.45999999999,99264.14,257.7,0.0,0.0
2026-06-09,552005.53,62987.759999999995,68671.04,128.85,100.0,118.0
2026-06-10,398661.94,242212.63,395556.22,151.9,325.0,383.5
2026-06-11,287970.17,104815.6,215507.37,144.19,0.0,0.0
2026-06-12,408244.89,671224.8500000001,550950.13,145.58,675.0,796.5
2026-06-13,,,,0.0,225.0,265.5
2026-06-15,439289.24,78928.6,47884.25,248.25,0.0,0.0
2026-06-16,478602.6,226752.28000000003,187438.91999999998,76.13,300.0,354.0
2026-06-17,626856.31,544387.3400000001,396133.63000000006,104.96,75.0,88.5
2026-06-18,586301.61,376145.52999999997,416700.23,110.7,300.0,354.0
2026-06-19,691505.27,302028.98,196825.32,125.83,425.0,501.5
2026-06-20,,,,165.5,150.0,177.0
2026-06-22,695916.11,180523.69,176112.85,316.28,0.0,0.0
2026-06-23,510414.05,262309.59,447811.65,158.14,350.0,413.0
2026-06-24,560010.89,198327.86,148731.02,186.45,525.0,619.5
2026-06-25,540857.7,206474.0,225627.19,188.1,350.0,413.0
2026-06-26,,,,137.32,125.0,147.5
2026-06-27,,,,150.71,150.0,177.0
2026-06-29,653415.62,370372.23,257814.31,301.42,0.0,0.0
2026-06-30,691322.45,156150.63999999998,118243.81,150.71,150.0,177.0
2026-07-06,630685.38,167364.28,155540.59,353.54,0.0,0.0
2026-07-07,491387.72,233813.56,373111.22000000003,176.77,225.0,265.5
2026-07-08,348776.67,266008.45,408619.5,165.81,200.0,236.0
2026-07-09,360847.88,186056.32,173985.11000000002,169.45,425.0,501.5
2026-07-10,427360.86,229881.66999999998,163368.69,127.31,450.0,531.0
2026-07-11,,,,84.64,200.0,236.0
2026-07-13,476403.1,105119.84999999999,56077.60999999999,194.76,0.0,0.0
2026-07-14,508312.92,139861.41,107951.59000000001,97.38,150.0,177.0
2026-07-15,520872.01,84687.87,72128.78,115.33,275.0,324.5
2026-07-16,597074.76,234098.75,157896.0,128.56,225.0,265.5
2026-07-17,383055.85,302314.38,516333.29,137.17,75.0,88.5
2026-07-18,,,,140.16,325.0,383.5
2026-07-20,407769.28,88945.17,64231.74,321.76,0.0,0.0
2026-07-21,407769.28,2116.5,2116.5,160.88,400.0,472.0
2026-07-22,394650.02,50562.49,63681.75,102.81,25.0,29.5
2026-07-23,281378.71,221921.35,335192.66000000003,110.04,75.0,88.5
2026-07-24,187120.58,126537.07,220795.2,109.52,50.0,59.0
2026-07-25,,,,106.08,250.0,295.0
