Date,MTF_Loan_Balance_v3,MTF_Loan_Balance_v2,delta
2026-04-27,70105.1,51447.2,18657.90000000001
2026-04-28,147526.44,173594.8,-26068.359999999986
2026-04-29,259615.29,304779.21,-45163.92000000001
2026-04-30,203852.43,257617.38,-53764.95000000001
2026-05-04,323414.38,354289.66,-30875.27999999997
2026-05-05,290619.32,322794.14,-32174.820000000007
2026-05-06,259027.83,294026.97,-34999.139999999985
2026-05-07,288661.63,327520.73,-38859.09999999998
2026-05-08,414936.19,416406.0,-1469.8099999999977
2026-05-11,428994.67,461408.05,-32413.380000000005
2026-05-12,54502.96,0.0,54502.96
2026-05-13,107396.66,128971.5,-21574.839999999997
2026-05-14,97655.74,302.88,97352.86
2026-05-15,105364.04,16530.88,88833.15999999999
2026-05-18,83052.91,0.0,83052.91
2026-05-19,53282.07,24017.4,29264.67
2026-05-20,205417.77,173707.14,31710.629999999976
2026-05-21,401299.48,408994.69,-7695.210000000021
2026-05-22,411850.1,475053.59,-63203.49000000005
2026-05-25,430133.89,512507.76,-82373.87
2026-05-26,377941.36,400041.02,-22099.660000000033
2026-05-27,382122.93,396347.83,-14224.900000000023
2026-06-01,435243.47,437502.36,-2258.890000000014
2026-06-02,487596.85,495876.29,-8279.440000000002
2026-06-03,428034.78,247989.17,180045.61000000002
2026-06-04,488217.23,463717.27,24499.959999999963
2026-06-08,557688.81,544644.49,13044.320000000065
2026-06-09,552005.53,542816.72,9188.810000000056
2026-06-10,398661.94,276185.9,122476.03999999998
2026-06-11,287970.17,197524.69,90445.47999999998
2026-06-15,439289.24,440734.59,-1445.350000000035
2026-06-16,478602.6,512823.73,-34221.130000000005
2026-06-17,626856.31,714261.25,-87404.93999999994
2026-06-18,586301.61,642693.89,-56392.28000000003
2026-06-22,695916.11,644690.25,51225.859999999986
2026-06-23,510414.05,473917.83,36496.21999999997
2026-06-24,560010.89,578262.98,-18252.089999999967
2026-06-29,653415.62,643261.45,10154.170000000042
2026-06-30,691322.45,724597.04,-33274.590000000084
